ukprn,max_award_amount,lower_award_amount,primary_key_contact_email_address
10083728,4000,2000,claimteacherid@gmail.com
10000055,6000,3000,claimteacherid@gmail.com
10004927,6000,3000,claimteacherid@gmail.com
10057981,6000,3000,claimteacherid@gmail.com
10000330,5000,2500,claimteacherid@gmail.com
10082366,6000,3000,claimteacherid@gmail.com
10000415,6000,3000,claimteacherid@gmail.com
10000528,6000,3000,claimteacherid@gmail.com
10000533,6000,3000,claimteacherid@gmail.com
10000536,6000,3000,claimteacherid@gmail.com
10000552,4000,2000,claimteacherid@gmail.com
10000560,6000,3000,claimteacherid@gmail.com
10001465,6000,3000,claimteacherid@gmail.com
10086696,6000,3000,claimteacherid@gmail.com
10000610,6000,3000,claimteacherid@gmail.com
10000670,5000,2500,claimteacherid@gmail.com
10046350,6000,3000,claimteacherid@gmail.com
10084488,5000,2500,claimteacherid@gmail.com
10064686,6000,3000,claimteacherid@gmail.com
10006442,6000,3000,claimteacherid@gmail.com
10000720,6000,3000,claimteacherid@gmail.com
10000721,6000,3000,claimteacherid@gmail.com
10000747,6000,3000,claimteacherid@gmail.com
10000754,6000,3000,claimteacherid@gmail.com
10088739,6000,3000,claimteacherid@gmail.com
10000794,6000,3000,claimteacherid@gmail.com
10000796,6000,3000,claimteacherid@gmail.com
10000812,6000,3000,claimteacherid@gmail.com
10000840,6000,3000,claimteacherid@gmail.com
10000878,6000,3000,claimteacherid@gmail.com
10000887,4000,2000,claimteacherid@gmail.com
10000944,5000,2500,claimteacherid@gmail.com
10000950,6000,3000,claimteacherid@gmail.com
10000473,6000,3000,claimteacherid@gmail.com
10001000,6000,3000,claimteacherid@gmail.com
10001004,6000,3000,claimteacherid@gmail.com
10001005,6000,3000,claimteacherid@gmail.com
10001093,6000,3000,claimteacherid@gmail.com
10064832,5000,2500,claimteacherid@gmail.com
10092570,4000,2000,claimteacherid@gmail.com
10001116,6000,3000,claimteacherid@gmail.com
10068090,5000,2500,claimteacherid@gmail.com
10001148,6000,3000,claimteacherid@gmail.com
